,gender,age,married,dependents,education,self_employed,business_type,applicant_income,applicant_work_period,coapplicant_income,credit_history,credit_amount,property_area,property_type,credit_rate,loan_amount,loan_term
312,0,42,1,0,0,1,83,7142,41,0.0,1.0,2872,3,1,2,5382,36
504,1,37,1,0,1,0,49,2425,64,2340.0,1.0,688,2,1,3,4290,33
72,1,36,1,2,0,0,27,3357,45,2859.0,1.0,1915,1,2,1,5616,40
269,1,49,1,0,0,0,45,4300,63,2014.0,1.0,3226,3,1,5,4656,30
557,1,31,0,0,1,0,80,3229,60,2739.0,1.0,1546,1,1,2,1980,24
525,1,38,0,0,1,0,97,2500,4,0.0,1.0,5848,2,3,2,1920,34
178,1,35,1,1,1,0,15,3125,48,2583.0,1.0,7780,2,1,8,4420,40
353,1,39,1,0,1,1,63,16120,25,0.0,1.0,1067,1,3,5,5720,33
95,1,62,0,2,1,0,94,3588,37,0.0,0.0,0,3,1,5,2860,36
495,0,44,0,0,1,0,61,3086,39,0.0,1.0,3307,2,1,3,3600,26
524,1,46,1,0,1,0,62,20833,50,6667.0,,0,1,3,2,12480,24
394,0,24,0,0,1,0,69,3180,69,0.0,0.0,0,1,1,5,3195,26
409,1,50,1,0,1,0,55,9083,27,0.0,1.0,3544,2,3,4,4104,24
22,1,40,1,3,1,0,29,5250,41,0.0,1.0,2715,1,2,5,3102,28
540,1,40,1,0,1,0,67,6133,24,3906.0,1.0,3297,1,2,2,8424,28
611,1,25,-1,-1,1,0,86,4758,52,0.0,1.0,1747,2,1,2,2844,34
502,1,50,1,0,1,0,89,2625,64,6250.0,1.0,2933,3,1,3,4488,26
117,0,47,1,2,1,0,33,14866,49,0.0,1.0,1360,1,1,3,2100,26
102,1,32,1,2,1,1,83,1600,45,20000.0,1.0,5577,1,2,4,6214,36
567,1,33,0,0,1,0,4,2718,57,0.0,1.0,3331,2,3,1,2940,28
456,0,72,0,0,1,-1,45,3418,5,0.0,1.0,4408,3,1,4,2700,26
383,1,43,1,0,1,0,45,3727,72,1775.0,1.0,1145,2,1,5,4716,24
366,0,45,0,0,1,0,82,645,41,3683.0,1.0,697,3,2,5,2938,48
337,1,75,0,0,1,0,64,14999,46,0.0,0.0,0,2,3,6,6534,28
320,1,37,0,0,0,0,90,2346,67,1600.0,1.0,3717,2,2,1,4356,28
132,1,29,1,2,1,0,90,2045,29,1619.0,1.0,2400,3,2,2,1818,33
559,1,44,1,0,1,0,60,3000,57,3416.0,1.0,3891,2,1,2,2184,12
598,1,50,1,0,1,0,49,3859,56,3300.0,1.0,2291,3,1,1,5964,13
568,1,35,1,0,1,1,8,3459,71,0.0,1.0,1557,2,3,1,1050,9
340,1,27,1,0,1,0,43,3366,1,2200.0,1.0,5459,3,2,6,3780,28
261,1,75,0,0,0,0,99,1442,19,0.0,1.0,5565,1,1,6,980,24
204,1,35,1,1,1,0,20,5955,38,5625.0,1.0,2879,1,1,4,5670,40
299,1,23,0,0,0,0,52,3189,26,2598.0,1.0,3624,3,1,3,4680,0
313,1,33,1,0,0,0,67,4467,27,0.0,,0,3,1,2,2640,24
19,1,27,1,3,1,0,43,15000,54,0.0,1.0,2188,3,3,5,7800,33
179,0,48,0,1,1,0,85,3481,1,0.0,1.0,4280,2,1,8,3100,3
422,1,47,1,0,1,0,28,3500,59,1667.0,1.0,3957,2,2,4,2736,28
209,1,26,1,1,1,0,34,9538,25,0.0,1.0,1171,1,3,3,5236,24
328,1,22,0,0,1,0,82,2237,37,0.0,0.0,0,2,1,8,2079,32
541,1,29,0,0,1,0,61,8750,20,4167.0,1.0,5953,3,2,2,5544,28
137,1,41,1,2,1,1,87,9323,68,7873.0,1.0,3796,3,1,2,13680,27
449,1,31,1,0,1,0,68,1025,36,2773.0,1.0,2577,3,1,4,3360,40
213,1,37,1,1,1,0,74,6325,71,0.0,1.0,1105,2,2,3,3850,36
476,1,36,1,0,1,0,75,3497,69,1964.0,1.0,3695,3,2,3,5220,24
195,1,37,1,1,1,0,70,14583,32,0.0,1.0,1497,3,3,4,5180,15
579,1,42,0,0,1,0,89,4895,53,0.0,1.0,720,2,2,1,4590,24
563,1,57,0,0,1,0,79,5815,57,3666.0,1.0,6478,3,1,2,8708,24
392,0,70,1,0,1,0,65,4333,27,2451.0,1.0,2476,1,1,5,4950,40
443,1,43,1,0,1,0,44,2058,60,2134.0,,0,1,1,4,3168,33
327,0,39,0,0,1,0,34,4166,60,0.0,0.0,0,2,1,8,3480,36
238,1,25,1,1,1,0,71,6083,67,4250.0,,0,1,1,2,7780,40
606,1,50,1,-1,1,1,75,5503,52,4490.0,1.0,2281,2,3,3,2100,0
350,0,23,0,0,1,0,32,3692,33,0.0,,0,3,3,5,3348,30
453,0,42,1,0,1,0,96,3166,31,0.0,1.0,3765,2,1,4,1080,36
458,0,23,0,0,1,0,10,3410,14,0.0,1.0,2819,1,3,3,1584,0
475,0,48,1,0,1,0,87,2330,52,4486.0,1.0,3438,2,2,3,2400,28
471,1,22,0,0,1,1,60,6050,12,4333.0,1.0,4568,1,3,3,3120,14
131,0,43,1,2,1,0,68,2031,40,1632.0,1.0,3203,2,3,2,2034,53
433,1,51,0,0,1,0,17,3069,41,0.0,1.0,2609,1,2,4,1420,44
339,1,49,0,0,1,0,71,1853,32,2840.0,1.0,7683,3,2,6,2736,24
481,0,30,0,0,1,0,91,4160,71,0.0,1.0,2137,2,2,3,2343,40
346,1,69,0,0,1,0,23,9166,2,0.0,1.0,6976,1,1,6,7320,24
513,1,47,0,0,1,0,74,5417,38,0.0,1.0,1460,1,3,2,4536,33
582,1,42,0,0,1,0,79,3858,26,0.0,1.0,930,2,2,1,2052,33
185,0,50,1,1,1,0,46,4608,64,2845.0,1.0,1128,2,3,5,5880,16
248,-1,36,1,1,1,1,52,9833,51,1833.0,1.0,1642,1,2,1,5096,12
520,1,46,0,0,1,1,95,7167,24,0.0,1.0,3026,1,3,2,4608,30
107,1,18,1,2,1,0,83,2947,72,1603.0,1.0,2477,1,1,4,3000,24
395,1,35,1,0,1,0,98,3948,57,1733.0,0.0,0,3,1,5,6258,36
494,1,28,1,0,1,0,4,20667,33,0.0,1.0,1656,3,2,3,7700,24
338,0,35,0,0,1,0,82,10000,51,1666.0,1.0,2346,3,3,6,6750,26
88,1,48,1,2,1,0,47,5391,70,0.0,1.0,1788,1,2,5,3120,33
536,1,29,1,0,1,0,42,6333,32,4583.0,,0,2,2,2,10101,40
444,0,27,0,0,1,0,51,3166,44,2985.0,,0,3,1,4,4752,26
416,0,48,0,0,1,0,19,1500,42,1800.0,0.0,0,2,3,4,3090,33
87,1,39,1,2,1,0,61,4006,67,1526.0,1.0,1499,1,2,5,7560,33
586,0,41,1,0,1,0,92,2423,53,505.0,1.0,3977,2,2,1,4290,26
230,1,25,1,1,1,0,8,3052,62,1030.0,1.0,616,1,3,2,1800,40
249,1,43,1,1,1,0,53,6065,33,2004.0,1.0,2450,2,2,1,6500,28
61,1,56,1,2,0,0,35,6125,17,1625.0,1.0,4029,2,3,3,8415,34
38,-1,37,1,3,1,0,36,51763,28,0.0,1.0,928,1,1,3,14000,21
356,1,18,1,0,1,0,48,2130,66,6666.0,1.0,2627,2,3,5,1400,13
369,1,31,1,0,1,0,56,2221,44,0.0,0.0,0,1,2,5,2700,36
499,1,43,1,0,1,0,79,3075,51,2416.0,1.0,1772,3,1,3,2502,36
351,1,43,0,0,1,-1,24,2980,26,2083.0,1.0,1440,3,3,5,3960,28
585,1,23,0,0,1,0,95,2935,60,0.0,1.0,1446,2,2,1,3528,33
377,1,35,0,0,1,0,30,2366,71,2531.0,1.0,528,2,1,5,4896,28
198,1,25,1,1,1,0,49,4583,54,1508.0,1.0,6237,3,3,4,9216,33
574,0,22,0,0,1,1,84,2500,68,0.0,,0,1,3,1,2604,30
104,1,46,1,2,1,0,53,4167,65,1447.0,1.0,2497,3,1,4,4740,36
229,1,63,1,1,1,0,57,18333,48,0.0,1.0,1989,1,1,3,11000,24
243,1,65,1,1,1,0,85,8300,16,0.0,0.0,0,2,1,2,5472,33
601,1,32,1,-1,0,0,66,2875,44,1750.0,1.0,3947,2,3,3,4725,30
397,1,38,0,0,1,0,20,6000,54,0.0,1.0,3677,1,3,4,4230,24
352,1,33,0,0,1,0,63,2060,38,2209.0,1.0,3207,2,3,5,6030,24
403,1,44,1,0,1,1,91,39147,36,4750.0,1.0,697,2,3,4,2880,28
595,1,22,0,0,1,0,41,9508,50,0.0,1.0,3106,3,1,1,5236,33
167,1,28,1,1,0,0,57,3500,55,1083.0,1.0,2272,1,1,2,6075,33
505,1,36,0,0,1,0,87,3660,55,5064.0,1.0,1861,2,1,3,5610,26
25,1,38,1,3,1,0,78,7740,51,0.0,1.0,1162,1,1,5,3840,15
321,0,43,0,0,0,0,70,2165,43,0.0,1.0,921,2,2,1,1890,33
28,1,43,1,3,1,0,60,4333,49,1811.0,0.0,0,1,3,4,6720,24
228,1,48,0,1,1,0,46,3062,59,1987.0,0.0,0,1,1,3,3663,13
296,1,47,0,0,0,0,89,2717,45,0.0,1.0,1375,1,2,3,2160,20
256,1,26,1,0,0,0,15,1668,70,3890.0,0.0,0,2,3,7,7839,26
98,1,44,1,2,1,0,87,7583,26,0.0,1.0,2848,1,3,4,3740,24
357,1,31,0,0,1,0,61,1836,23,33837.0,1.0,6342,1,3,5,3780,33
575,1,44,1,0,1,0,45,4625,72,2857.0,,0,1,3,1,2442,1
464,1,35,1,0,1,0,48,2583,42,2115.0,,0,1,3,3,2880,24
277,1,52,0,0,0,0,3,2000,68,0.0,1.0,7789,1,1,5,4000,36
40,1,26,1,3,1,1,68,5677,56,1424.0,1.0,3210,3,3,2,3600,33
163,1,22,1,1,0,0,44,6608,52,0.0,1.0,1327,1,1,3,2466,20
58,1,49,1,2,0,0,51,2192,59,1742.0,1.0,1428,2,2,4,810,26
344,1,38,0,0,1,1,38,16250,16,0.0,0.0,0,1,2,6,5376,30
254,1,18,0,0,0,0,52,3200,2,2254.0,0.0,0,1,3,8,2268,16
490,1,38,1,0,1,0,83,3232,53,1950.0,1.0,3467,3,2,3,2376,40
523,1,27,1,0,1,0,49,10833,67,0.0,1.0,638,2,3,2,7020,36
237,1,40,1,1,1,0,79,3988,58,0.0,1.0,3063,1,1,2,1950,27
501,0,24,0,0,1,0,53,2500,60,0.0,1.0,1255,1,1,3,2010,28
482,0,42,0,0,1,1,65,15759,55,0.0,1.0,900,2,2,3,1100,28
484,1,40,1,0,1,0,92,2333,67,2417.0,1.0,3390,1,2,3,3672,40
431,1,43,1,0,1,0,41,5923,46,2054.0,1.0,3302,3,2,4,9495,24
66,1,39,1,2,0,0,73,3917,48,0.0,1.0,2769,2,1,3,4836,24
109,1,47,1,2,1,0,56,3159,69,461.0,1.0,2582,1,3,3,2916,9
329,0,35,0,0,1,0,28,4230,21,0.0,1.0,7401,2,3,7,3360,36
309,1,36,0,0,0,0,74,6216,34,0.0,1.0,4429,3,2,2,3724,33
385,1,23,0,0,1,0,85,2965,25,5701.0,1.0,2844,1,1,5,6975,4
584,1,37,1,0,1,0,46,14583,34,0.0,1.0,3946,2,2,1,19620,36
83,1,51,1,2,1,0,55,4400,46,0.0,0.0,0,2,3,5,4953,33
157,1,37,1,1,0,0,33,2653,46,1500.0,0.0,0,3,2,4,3390,16
345,1,56,0,0,1,0,85,3600,28,0.0,1.0,2780,1,1,6,1600,24
600,1,47,1,-1,0,0,88,3523,22,3230.0,0.0,0,3,1,4,5472,28
200,1,24,1,1,1,0,78,4283,29,3000.0,1.0,3776,3,3,4,7224,6
571,0,29,0,0,1,0,57,4124,49,0.0,1.0,2346,2,3,1,4485,36
276,1,54,1,0,0,0,33,2600,24,1911.0,0.0,0,2,1,5,3480,40
280,1,21,1,0,0,0,45,2583,43,2358.0,1.0,3715,1,3,4,5040,24
122,1,32,1,2,1,0,52,5000,50,3667.0,1.0,1028,2,1,3,6136,36
590,1,34,1,0,1,-1,86,2600,15,3500.0,1.0,3409,1,1,1,3450,0
112,0,29,1,2,1,0,71,4283,65,2383.0,,0,2,2,3,4572,26
597,1,21,0,0,1,0,45,1926,33,1851.0,1.0,1024,2,1,1,1100,24
113,1,36,1,2,1,0,84,5819,56,5000.0,1.0,2964,3,2,3,3240,30
461,1,41,1,0,1,1,14,2577,50,3750.0,1.0,1989,3,3,3,5472,33
426,1,38,1,0,1,0,42,5488,41,0.0,1.0,3187,3,2,4,4500,28
108,1,29,0,2,1,0,43,3617,32,0.0,1.0,3125,2,3,3,2140,36
149,1,48,1,2,1,0,28,6250,68,5654.0,1.0,1623,2,1,1,4512,20
227,1,27,1,1,1,0,49,3400,40,2500.0,1.0,3973,2,1,3,4152,24
578,0,48,1,0,1,-1,7,2929,61,2333.0,1.0,3201,2,2,1,2780,33
508,0,36,0,0,1,0,54,3510,22,0.0,0.0,0,1,1,3,1520,24
343,0,19,0,0,1,0,3,10000,35,0.0,1.0,5488,2,2,6,6420,28
418,1,27,1,0,1,0,43,3166,57,2064.0,0.0,0,1,3,4,3744,24
410,0,41,0,0,1,-1,93,2764,70,1459.0,1.0,758,1,3,4,2860,40
358,1,48,0,0,1,0,95,8566,36,0.0,1.0,2778,1,2,5,6930,26
126,1,30,1,2,1,0,45,2957,26,0.0,1.0,742,2,3,2,1620,33
420,1,48,1,0,1,1,35,3000,33,0.0,1.0,1442,1,2,4,1584,36
295,0,50,0,0,0,0,64,4408,33,0.0,1.0,3353,2,2,3,3960,30
521,1,38,1,0,1,0,84,7333,41,8333.0,,0,3,3,2,6825,27
608,0,48,0,-1,1,0,85,3813,63,0.0,1.0,1090,1,2,2,2552,14
160,1,25,1,1,0,0,78,2510,64,1983.0,1.0,2783,1,3,3,4200,16
445,1,24,1,0,1,0,55,3013,38,3033.0,,0,1,1,4,4275,21
430,1,35,1,0,1,0,88,3887,26,2669.0,1.0,2224,2,2,4,4374,30
605,1,25,0,-1,1,0,46,2833,64,0.0,1.0,1280,1,3,4,2556,40
326,1,75,0,0,1,0,68,20233,45,0.0,1.0,2725,3,2,8,12960,36
543,1,29,1,0,1,0,13,2439,43,3333.0,1.0,2636,3,1,2,3354,24
333,0,45,1,0,1,0,62,2645,48,3440.0,0.0,0,1,2,7,4320,36
36,1,27,1,3,1,1,55,10139,24,0.0,1.0,3466,2,2,3,9360,36
240,1,49,0,1,1,-1,71,3667,32,0.0,1.0,2063,1,1,2,3729,15
349,1,47,1,0,1,0,47,3208,68,3066.0,1.0,2186,1,3,5,7740,28
451,1,21,1,0,1,0,53,3015,67,2188.0,1.0,2955,3,1,4,3060,30
560,1,71,0,0,1,0,64,5124,52,0.0,0.0,0,3,1,2,2976,0
171,1,46,1,1,0,0,45,2661,29,7101.0,1.0,2042,2,1,1,9207,12
250,1,27,1,1,1,0,67,3417,54,1750.0,1.0,2877,1,2,1,5580,36
103,0,26,0,2,1,-1,4,3750,55,2083.0,1.0,2983,2,1,4,2400,40
412,1,73,0,0,1,0,28,6277,27,0.0,0.0,0,3,3,4,3540,33
174,1,42,1,1,1,1,38,2178,46,0.0,0.0,0,3,3,8,2574,23
205,0,41,0,1,1,0,78,3541,61,0.0,,0,2,1,4,2688,40
279,1,46,1,0,0,0,86,2400,31,3800.0,1.0,2770,1,1,5,4000,14
466,1,22,1,0,1,0,55,2083,52,3150.0,1.0,1876,2,3,3,4608,24
241,1,46,1,1,1,1,91,16667,62,2250.0,1.0,3993,2,1,2,3354,36
368,-1,33,0,0,1,0,79,4750,48,0.0,1.0,3771,2,2,5,2632,26
54,1,36,1,2,0,0,16,4288,62,3263.0,1.0,2934,1,1,5,2660,20
556,1,36,0,0,1,0,64,3333,57,0.0,1.0,1377,1,1,2,1260,24
120,1,41,1,2,1,-1,57,2583,42,2330.0,1.0,1310,3,1,3,2500,36
85,1,53,1,2,1,1,82,6633,22,0.0,0.0,0,3,3,5,5540,28
564,1,33,1,0,1,0,14,3593,33,4266.0,0.0,0,3,1,2,3696,15
69,1,48,1,2,0,0,10,3333,25,2000.0,,0,2,3,2,2772,26
183,1,30,1,1,1,0,40,6000,43,0.0,,0,3,3,5,3520,28
15,1,21,1,3,1,0,26,4000,10,7750.0,1.0,6191,2,3,7,8120,26
5,1,37,1,3,0,1,80,5703,29,0.0,1.0,2614,3,2,5,2600,26
124,1,40,1,2,1,0,59,3510,52,4416.0,1.0,2846,3,1,3,5346,26
577,1,49,1,0,1,0,7,1759,65,3541.0,1.0,2760,2,2,1,5895,40
587,-1,33,1,0,1,0,66,16692,44,0.0,1.0,3696,2,2,1,3630,28
39,1,35,1,3,1,0,83,4342,49,189.0,1.0,2220,2,3,2,4092,30
314,1,71,1,0,0,0,27,3010,60,3136.0,0.0,0,1,1,2,7000,26
48,1,26,1,3,1,0,86,5703,35,0.0,1.0,553,1,2,1,3328,24
463,1,42,1,0,1,0,85,4817,33,923.0,1.0,1450,1,3,3,3240,18
553,1,46,1,0,1,0,90,1820,45,1719.0,1.0,3748,1,1,2,3600,28
311,1,34,1,0,0,0,96,2253,43,2033.0,1.0,1394,3,1,2,2970,26
479,1,30,1,0,1,0,53,2400,48,2167.0,1.0,2642,2,2,3,2990,26
99,1,44,1,2,1,1,70,5746,53,0.0,,0,3,2,4,3168,6
180,1,60,1,1,1,1,76,10000,40,0.0,1.0,6958,3,1,8,4185,28
589,1,41,0,0,1,0,73,5849,67,0.0,1.0,1646,1,1,1,3120,26
415,-1,38,1,0,1,0,37,2473,8,1843.0,1.0,5487,3,3,4,3180,36
73,1,41,1,2,0,0,46,4652,26,0.0,1.0,3967,3,1,1,3300,33
231,1,50,1,1,1,0,64,1538,26,1425.0,1.0,3785,1,3,2,1170,30
315,1,20,1,0,0,0,33,2454,35,2333.0,0.0,0,1,1,2,3620,36
570,1,39,1,0,1,0,47,11146,54,0.0,1.0,2137,1,3,1,4080,28
473,-1,34,0,0,1,0,79,3583,9,0.0,1.0,1892,1,3,3,3168,36
406,1,40,1,0,1,0,79,2620,38,2223.0,1.0,3599,2,3,4,3000,33
421,1,41,1,0,1,1,58,9560,36,0.0,1.0,2613,2,2,4,5157,36
139,1,51,1,2,1,0,46,8799,50,0.0,0.0,0,1,1,2,11610,26
467,0,38,0,0,1,0,75,2667,57,1625.0,,0,1,3,3,2520,40
399,1,31,0,0,1,0,78,1800,29,1213.0,1.0,877,1,3,4,1034,40
331,0,55,0,0,1,0,60,5000,57,2541.0,1.0,6126,3,3,7,3020,53
232,0,68,0,1,1,0,2,2600,27,0.0,1.0,6055,1,3,2,7200,26
551,0,36,0,0,1,0,57,1811,24,1666.0,1.0,1754,1,1,2,2106,30
4,1,34,1,3,0,0,60,2071,60,754.0,1.0,2756,2,2,5,2820,53
363,0,40,1,0,1,0,85,3625,36,0.0,1.0,3364,2,2,5,3564,30
192,1,49,1,1,1,0,45,5500,64,1260.0,1.0,1397,3,1,5,3060,40
566,1,33,0,0,1,1,99,20166,38,0.0,,0,1,3,1,8200,40
196,0,49,0,1,1,1,64,8624,33,0.0,1.0,3551,2,3,4,4200,30
493,1,29,1,0,1,0,34,3250,7,0.0,1.0,4485,3,2,3,7650,30
390,1,50,1,0,1,0,70,2483,55,2466.0,0.0,0,3,1,5,2520,12
133,1,44,1,2,1,1,55,7948,37,7166.0,1.0,3295,3,2,2,13440,40
405,1,49,0,0,1,0,82,2833,44,1857.0,1.0,2372,3,3,4,3402,30
517,1,23,0,0,1,0,95,3158,45,3053.0,1.0,3114,3,3,2,2314,30
532,1,47,1,0,1,0,17,2698,52,2034.0,1.0,1324,2,2,2,2196,40
1,1,68,1,3,0,0,14,4931,47,0.0,,0,2,3,7,5376,24
455,1,23,0,0,1,-1,12,6782,67,0.0,,0,1,1,4,6600,24
411,1,37,1,0,1,0,51,2920,37,16.12000084,1.0,1181,3,3,4,3393,28
177,1,48,1,1,1,1,43,1000,21,3022.0,1.0,5781,1,1,8,2200,36
558,1,24,1,0,1,0,65,2297,70,1522.0,1.0,2915,1,1,2,3120,40
549,1,46,1,0,1,0,42,3103,67,1300.0,1.0,1321,1,1,2,2400,30
419,0,41,0,0,1,1,58,4583,70,0.0,0.0,0,2,3,4,3458,30
322,1,26,0,0,0,1,79,2583,51,2167.0,1.0,670,3,1,1,2496,36
297,1,49,1,0,0,-1,53,2894,25,2792.0,1.0,2924,3,2,3,3720,33
44,1,18,1,3,1,0,63,3400,55,2500.0,0.0,0,3,2,2,2214,26
336,1,53,1,0,1,0,72,6080,23,2569.0,,0,3,1,7,4004,24
208,1,46,1,1,1,0,43,7250,71,1667.0,0.0,0,1,1,4,2970,0
